 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerCkmh_3000_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerC_3000_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  0.000  1.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1546 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  41 1.23E+00 1.02E+04 5.47E+14 2.36E+02 4.08E+00   16   0  1.30E-05 8.86E+00 1.71E+00
  42 1.31E+00 1.00E+04 5.53E+14 2.38E+02 4.13E+00   16   0  1.37E-05 8.70E+00 1.70E+00
  43 1.40E+00 9.79E+03 5.59E+14 2.41E+02 4.17E+00   16   0  1.43E-05 8.54E+00 1.70E+00
  44 1.49E+00 9.58E+03 5.65E+14 2.43E+02 4.22E+00   16   0  1.50E-05 8.37E+00 1.69E+00
  45 1.58E+00 9.37E+03 5.71E+14 2.46E+02 4.26E+00   16   0  1.58E-05 8.27E+00 1.68E+00
  46 1.69E+00 9.16E+03 5.78E+14 2.49E+02 4.31E+00   16   0  1.66E-05 8.19E+00 1.68E+00
  47 1.80E+00 8.95E+03 5.84E+14 2.52E+02 4.36E+00   16   0  1.75E-05 8.11E+00 1.68E+00
  48 1.91E+00 8.75E+03 5.91E+14 2.55E+02 4.41E+00   16   0  1.84E-05 8.03E+00 1.68E+00
  49 2.04E+00 8.55E+03 5.98E+14 2.58E+02 4.46E+00   16   0  1.94E-05 7.95E+00 1.67E+00
  50 2.17E+00 8.35E+03 6.05E+14 2.61E+02 4.52E+00   16   0  2.05E-05 7.87E+00 1.67E+00
  51 2.31E+00 8.15E+03 6.13E+14 2.64E+02 4.57E+00   16   0  2.16E-05 7.80E+00 1.66E+00
  52 2.46E+00 7.95E+03 6.20E+14 2.67E+02 4.63E+00   15   0  2.27E-05 7.72E+00 1.66E+00
  53 2.62E+00 7.75E+03 6.28E+14 2.71E+02 4.69E+00   15   0  2.40E-05 7.65E+00 1.65E+00
  54 2.79E+00 7.56E+03 6.36E+14 2.74E+02 4.75E+00   15   0  2.53E-05 7.58E+00 1.65E+00
  55 2.97E+00 7.36E+03 6.45E+14 2.78E+02 4.81E+00   15   0  2.67E-05 7.51E+00 1.64E+00
  56 3.16E+00 7.17E+03 6.53E+14 2.81E+02 4.87E+00   15   0  2.82E-05 7.44E+00 1.64E+00
  57 3.36E+00 6.98E+03 6.62E+14 2.85E+02 4.94E+00   15   0  2.98E-05 7.37E+00 1.64E+00
  58 3.58E+00 6.79E+03 6.71E+14 2.89E+02 5.01E+00   15   0  3.15E-05 7.31E+00 1.63E+00
  59 3.81E+00 6.60E+03 6.81E+14 2.93E+02 5.08E+00   15   0  3.33E-05 7.24E+00 1.63E+00
  60 4.06E+00 6.41E+03 6.91E+14 2.98E+02 5.15E+00   15   0  3.52E-05 7.17E+00 1.62E+00
  61 4.32E+00 6.28E+03 6.98E+14 3.01E+02 5.21E+00   15   0  3.67E-05 7.13E+00 1.62E+00
  62 4.60E+00 6.09E+03 7.08E+14 3.05E+02 5.29E+00   15   0  3.89E-05 7.06E+00 1.62E+00
